,correct_group,x1
0,a,0.6888286555076018
1,b,1.7887601308588255
2,b,2.473216059198601
3,b,4.879024368699913
4,a,-0.15880500876853754
5,a,-0.15488917966443788
6,b,2.778308504472964
7,b,3.6002124119069103
8,a,-0.2926953459773943
9,b,1.8204758408632562
10,a,0.5501714662366903
11,a,-0.14639746278899146
12,b,3.5106760750236736
13,b,2.5009680476157645
14,b,4.161925337278809
15,a,0.41874863276765645
16,a,0.2991217437353742
17,b,0.8755908599859712
18,b,0.6073590411065379
19,a,0.704483920275784
20,a,-0.4116533494629826
21,a,-0.503364937213236
22,b,3.6539030795206626
23,a,0.1689668489399596
24,a,-0.48463685942978274
25,a,0.0271887507964727
26,a,-0.026143150674301965
27,b,4.137074247815029
28,b,2.307310787794085
29,b,2.9318689887516522
30,a,-0.09558020111942564
31,a,-0.23753528857643566
32,a,-0.31916348138441175
33,b,2.2247447272469705
34,a,-0.11643413385198413
35,a,0.4667035718860718
36,a,-0.2632642407981473
37,b,2.794897174761153
38,b,3.2263305898927923
39,b,2.5095326354571323
40,b,2.9838434937706246
41,b,4.916736980800336
42,b,3.295120113836218
43,a,-1.5138903824096241
44,b,2.3409811538977334
45,b,4.0105438138945475
46,a,0.6015360692744463
47,a,0.48557674762800296
48,b,2.936452696402041
49,a,-0.023424985716342422
50,a,-0.5607004524781437
51,b,2.6501720897140175
52,b,3.2622993637449405
53,b,2.498285447074475
54,a,0.3416640813999223
55,a,0.5886453438654888
56,b,2.1631097433182194
57,b,2.591049474861573
58,b,3.2596394618123328
59,a,0.5120794742662907
60,a,0.25055117744086214
61,b,4.236822518177483
62,a,0.7260958212295472
63,b,4.303710272869683
64,b,3.0615990916780023
65,b,4.09671053519377
66,a,-0.6437249463960921
67,b,4.402840899994955
68,a,-0.4672497561648336
69,a,0.005544128333212895
70,b,4.424427059283676
71,b,5.338610678334716
72,b,5.6736384668729105
73,a,0.0835369248503735
74,a,-0.04839628848544685
75,b,2.629081689622458
